"Yimengite","K[Ti3Cr5Fe3+2Mg2]O19","hexagonal","Approved,Redefined","GEN-5871","P6_3/mmc","{""K"":1,""Ti"":1,""Cr"":1,""Fe"":1,""Mg"":1,""O"":1}",true
"Yingjiangite","K2Ca(UO2)7(PO4)4(OH)6·6H2O","orthorhombic","Approved","R070740","C222_1","{""K"":1,""Ca"":1,""U"":1,""O"":1,""P"":1,""H"":1}",true
"Yixunite","Pt3In","cubic","Approved","GEN-5873","Fm3m","{""Pt"":1,""In"":1}",true
"Yoderite","(MgAl3)(MgAl)Al2O2(SiO4)4(OH)2","monoclinic","Approved","R050277","P2_1/m","{""Mg"":1,""Al"":1,""O"":1,""Si"":1,""H"":1}",true
"Yofortierite","Mn2+5Si8O20(OH)2·7H2O","monoclinic","Approved","R080111","C2/m","{""Mn"":1,""Si"":1,""O"":1,""H"":1}",true
"Yoshimuraite","Ba4Mn2+4Ti2(Si2O7)2(PO4)2O2(OH)2","triclinic","Approved,Redefined","R050266","P-1","{""Ba"":1,""Mn"":1,""Ti"":1,""Si"":1,""O"":1,""P"":1,""H"":1}",true
"Yoshiokaite","Ca1-x(Al,Si)2O4","hexagonal","Approved","GEN-5877","P-3","{""Ca"":1,""Al"":1,""Si"":1,""O"":1}",true
"Yttriaite-(Y)","Y2O3","cubic","Approved","GEN-5878","Ia3","{""Y"":1,""O"":1}",true
"Yttrialite-(Y)","Y2Si2O7","monoclinic","Approved,Renamed","GEN-5879","P2_1/m","{""Y"":1,""Si"":1,""O"":1}",true
"Yttrocolumbite-(Y)","(Y,U,Fe2+)(Nb,Ta)O4","","Approved,Questionable mineral species","GEN-5880","","{""Y"":1,""U"":1,""Fe"":1,""Nb"":1,""Ta"":1,""O"":1}",true
"Yttrocrasite-(Y)","(Y,Th,Ca,U)(Ti,Fe)2(O,OH)6","orthorhombic","Approved,Questionable mineral species","GEN-5881","Pbcn","{""Y"":1,""Th"":1,""Ca"":1,""U"":1,""Ti"":1,""Fe"":1,""O"":1,""H"":1}",true
"Yttrotantalite-(Y)","(Y,U,Fe2+)(Ta,Nb)(O,OH)4","amorphous","Approved,Questionable mineral species,Renamed","R060022","","{""Y"":1,""U"":1,""Fe"":1,""Ta"":1,""Nb"":1,""O"":1,""H"":1}",true
"Yttrotungstite-(Ce)","CeW2O6(OH)3","monoclinic","Approved,Renamed","GEN-5883","P2_1/m","{""Ce"":1,""W"":1,""O"":1,""H"":1}",true
"Yttrotungstite-(Nd)","NdW2O7(OH)·H2O","monoclinic","Approved,Pending publication","GEN-5884","P2_1/m","{""Nd"":1,""W"":1,""O"":1,""H"":1}",true
"Yttrotungstite-(Y)","Y(W,Fe,Si,Al,Ti)2(O,OH,H2O)9","monoclinic","Approved","R050569","P2_1/m","{""Y"":1,""W"":1,""Fe"":1,""Si"":1,""Al"":1,""Ti"":1,""O"":1,""H"":1}",true
"Yuanfuliite","Mg(Fe3+,Al)O(BO3)","orthorhombic","Approved","R100067","Pnma","{""Mg"":1,""Fe"":1,""Al"":1,""O"":1,""B"":1}",true
"Yuanjiangite","AuSn","hexagonal","Approved","GEN-5887","P6_3mc","{""Au"":1,""Sn"":1}",true
"Yuchuanite-(Y)","Y2(CO3)3·H2O","triclinic","Approved,Pending publication","GEN-5888","P-1","{""Y"":1,""C"":1,""O"":1,""H"":1}",true
"Yugawaralite","Ca(Si6Al2)O16·4H2O","monoclinic","Approved","R050407","","{""Ca"":1,""Si"":1,""Al"":1,""O"":1,""H"":1}",true
"Yukonite","Ca2Fe3+3(AsO4)3(OH)4·4H2O","","Approved,Grandfathered","RS687410","","{""Ca"":1,""Fe"":1,""As"":1,""O"":1,""H"":1}",true
"Yuksporite","K4(Ca,Na)14(Sr,Ba)2([box],Mn,Fe)(Ti,Nb)4(O,OH)4(Si6O17)2(Si2O7)3(H2O,OH)3","monoclinic","Approved,Grandfathered","R060818","P2_1/m","{""K"":1,""Ca"":1,""Na"":1,""Sr"":1,""Ba"":1,""Mn"":1,""Fe"":1,""Ti"":1,""Nb"":1,""O"":1,""H"":1,""Si"":1}",true
"Yurgensonite","K2SnTiO2(AsO4)2","orthorhombic","Approved","GEN-5892","Pna2_1","{""K"":1,""Sn"":1,""Ti"":1,""O"":1,""As"":1}",true
"Yurmarinite","Na7(Fe3+,Mg,Cu)4(AsO4)6","hexagonal","Approved","GEN-5893","R-3c","{""Na"":1,""Fe"":1,""Mg"":1,""Cu"":1,""As"":1,""O"":1}",true
"Yushkinite","(Mg,Al)(OH)2VS2","","Approved","GEN-5894","","{""Mg"":1,""Al"":1,""O"":1,""H"":1,""V"":1,""S"":1}",true
"Yusupovite","Na2Zr(Si6O15)(H2O)3","monoclinic","Approved","GEN-5895","C2/m","{""Na"":1,""Zr"":1,""Si"":1,""O"":1,""H"":1}",true
"Yuzuxiangite","Sr3Fe3+(Si2O6)2(OH)·3H2O","monoclinic","Approved,Pending publication","R200008","P2_1/m","{""Sr"":1,""Fe"":1,""Si"":1,""O"":1,""H"":1}",true
"Yvonite","Cu(AsO3OH)·2H2O","triclinic","Approved","R100010","P-1","{""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Żabińskiite","Ca[Al0.5(Ta,Nb)0.5)](SiO4)O","triclinic","Approved","GEN-5898","A-1","{""Ca"":1,""Al"":1,""Ta"":1,""Nb"":1,""Si"":1,""O"":1}",true
"Zabuyelite","Li2(CO3)","monoclinic","Approved","R100211","C2/c","{""Li"":1,""C"":1,""O"":1}",true
"Zaccagnaite","Zn4Al2(OH)12(CO3)·3H2O","hexagonal","Approved","GEN-5900","P6_3/mmc","{""Zn"":1,""Al"":1,""O"":1,""H"":1,""C"":1}",true
"Zaccariniite","RhNiAs","tetragonal","Approved","R130009","P4/nmm","{""Rh"":1,""Ni"":1,""As"":1}",true
"Zadovite","BaCa6[(SiO4)(PO4)](PO4)2F","hexagonal","Approved","GEN-5902","R-3m","{""Ba"":1,""Ca"":1,""Si"":1,""O"":1,""P"":1,""F"":1}",true
"Zagamiite","CaAl2Si3.5O11","hexagonal","Approved","GEN-5903","P6_3/mmc","{""Ca"":1,""Al"":1,""Si"":1,""O"":1}",true
"Zaherite","Al12(SO4)5(OH)26·20H2O","triclinic","Approved","GEN-5904","","{""Al"":1,""S"":1,""O"":1,""H"":1}",true
"Zaïrite","BiFe3+3(PO4)2(OH)6","hexagonal","Approved","GEN-5905","R-3m","{""Bi"":1,""Fe"":1,""P"":1,""O"":1,""H"":1}",true
"Zakharovite","Na4Mn2+5Si10O24(OH)6·6H2O","hexagonal","Approved","GEN-5906","","{""Na"":1,""Mn"":1,""Si"":1,""O"":1,""H"":1}",true
"Zálesíite","CaCu6(AsO4)2(AsO3OH)(OH)6·3H2O","hexagonal","Approved","R060228","P6_3/m","{""Ca"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Zanazziite","Ca2Be4Mg5(PO4)6(OH)4·6H2O","monoclinic","Approved","R050578","C2/c","{""Ca"":1,""Be"":1,""Mg"":1,""P"":1,""O"":1,""H"":1}",true
"Zangboite","TiFeSi2","orthorhombic","Approved","GEN-5909","Pbam","{""Ti"":1,""Fe"":1,""Si"":1}",true
"Zapatalite","Cu3Al4(PO4)3(OH)9·4H2O","tetragonal","Approved","GEN-5910","","{""Cu"":1,""Al"":1,""P"":1,""O"":1,""H"":1}",true
"Zaratite","Ni3(CO3)(OH)4·4H2O","amorphous","Approved,Questionable mineral species","R050268","","{""Ni"":1,""C"":1,""O"":1,""H"":1}",true
"Zavalíaite","Mn2+3(PO4)2","monoclinic","Approved","GEN-5912","P2_1/c","{""Mn"":1,""P"":1,""O"":1}",true
"Zavaritskite","BiOF","tetragonal","Approved","R070488","P4/nmm","{""Bi"":1,""O"":1,""F"":1}",true
"Zaykovite","Rh3Se4","monoclinic","Approved","GEN-5914","C2/m","{""Rh"":1,""Se"":1}",true
"Zdenĕkite","NaPbCu5(AsO4)4Cl·5H2O","monoclinic","Approved","GEN-5915","P2_1/n","{""Na"":1,""Pb"":1,""Cu"":1,""As"":1,""O"":1,""Cl"":1,""H"":1}",true
"Zektzerite","NaLiZrSi6O15","orthorhombic","Approved","R070485","Cmca","{""Na"":1,""Li"":1,""Zr"":1,""Si"":1,""O"":1}",true
"Zellerite","Ca(UO2)(CO3)2·5H2O","orthorhombic","Approved","R070454","Pmn2_1","{""Ca"":1,""U"":1,""O"":1,""C"":1,""H"":1}",true
"Zemannite","Mg0.5ZnFe3+(Te4+O3)3·<i>n</i>H2O (3≤<i>n</i>≤4.5)","hexagonal","Approved","R050273","P6_3/m","{""Mg"":1,""Zn"":1,""Fe"":1,""Te"":1,""O"":1,""H"":1}",true
